County,State,Year,Price
Henrico County,VA,2001,82.08333333333333
Howard County,MD,2001,116.66666666666667
Thurston County,WA,2001,90.41666666666667
Kitsap County,WA,2001,102.25
Harford County,MD,2001,93.66666666666667
Yakima County,WA,2001,75.25
Norfolk City,VA,2001,66.0
Frederick County,MD,2001,102.41666666666667
Chesapeake City,VA,2001,73.66666666666667
Arlington County,VA,2001,206.66666666666666
Richmond City,VA,2001,62.166666666666664
Whatcom County,WA,2001,95.83333333333333
Newport News City,VA,2001,65.66666666666667
Benton County,WA,2001,63.583333333333336
Carroll County,MD,2001,104.66666666666667
Washington County,MD,2001,76.75
Charles County,MD,2001,89.5
Hampton City,VA,2001,61.75
Stafford County,VA,2001,90.33333333333333
Spotsylvania County,VA,2001,83.41666666666667
Skagit County,WA,2001,106.66666666666667
Saint Marys County,MD,2001,86.66666666666667
Cowlitz County,WA,2001,69.66666666666667
Cecil County,MD,2001,86.33333333333333
Hanover County,VA,2001,87.58333333333333
Wicomico County,MD,2001,62.166666666666664
Roanoke City,VA,2001,66.16666666666667
Portsmouth City,VA,2001,59.083333333333336
Montgomery County,VA,2001,78.41666666666667
Roanoke County,VA,2001,76.83333333333333
Grant County,WA,2001,58.083333333333336
Calvert County,MD,2001,106.0
Suffolk City,VA,2001,74.75
Island County,WA,2001,106.66666666666667
Frederick County,VA,2001,79.66666666666667
Franklin County,WA,2001,49.166666666666664
Lynchburg City,VA,2001,53.416666666666664
Lewis County,WA,2001,73.0
Allegany County,MD,2001,42.5
Augusta County,VA,2001,81.5
Grays Harbor County,WA,2001,81.75
Chelan County,WA,2001,109.5
Clallam County,WA,2001,95.83333333333333
Bedford County,VA,2001,80.5
James City County,VA,2001,88.41666666666667
York County,VA,2001,77.83333333333333
Fauquier County,VA,2001,109.0
Pittsylvania County,VA,2001,66.41666666666667
Mason County,WA,2001,89.58333333333333
Walla Walla County,WA,2001,82.75
Franklin County,VA,2001,78.91666666666667
Washington County,VA,2001,60.666666666666664
Henry County,VA,2001,
Worcester County,MD,2001,118.83333333333333
Harrisonburg City,VA,2001,81.66666666666667
Queen Annes County,MD,2001,97.25
Culpeper County,VA,2001,82.33333333333333
Whitman County,WA,2001,
Stevens County,WA,2001,61.25
Charlottesville City,VA,2001,105.75
Shenandoah County,VA,2001,74.25
Okanogan County,WA,2001,61.75
Kittitas County,WA,2001,93.83333333333333
Douglas County,WA,2001,98.33333333333333
Talbot County,MD,2001,92.91666666666667
Warren County,VA,2001,95.16666666666667
Gloucester County,VA,2001,78.83333333333333
Prince George County,VA,2001,76.75
Isle of Wight County,VA,2001,69.91666666666667
Orange County,VA,2001,79.58333333333333
Louisa County,VA,2001,84.58333333333333
Botetourt County,VA,2001,85.58333333333333
Caroline County,MD,2001,67.08333333333333
Dorchester County,MD,2001,59.916666666666664
Amherst County,VA,2001,77.41666666666667
Garrett County,MD,2001,65.66666666666667
Jefferson County,WA,2001,115.25
Caroline County,VA,2001,73.58333333333333
Powhatan County,VA,2001,83.66666666666667
Somerset County,MD,2001,46.416666666666664
Winchester City,VA,2001,87.33333333333333
Fluvanna County,VA,2001,81.91666666666667
Salem City,VA,2001,81.58333333333333
Fredericksburg City,VA,2001,77.41666666666667
Page County,VA,2001,60.833333333333336
Staunton City,VA,2001,74.75
King George County,VA,2001,79.25
Scott County,VA,2001,49.333333333333336
Hopewell City,VA,2001,
Fairfax City,VA,2001,139.16666666666666
Rockbridge County,VA,2001,81.91666666666667
Goochland County,VA,2001,88.83333333333333
Asotin County,WA,2001,87.66666666666667
Waynesboro City,VA,2001,67.5
Pacific County,WA,2001,75.58333333333333
Klickitat County,WA,2001,77.58333333333333
Kent County,MD,2001,74.91666666666667
Adams County,WA,2001,54.833333333333336
New Kent County,VA,2001,76.66666666666667
Greene County,VA,2001,77.75
Bristol City,VA,2001,51.75
Colonial Heights City,VA,2001,62.75
Giles County,VA,2001,56.5
Alleghany County,VA,2001,
King William County,VA,2001,
San Juan County,WA,2001,153.58333333333334
Grayson County,VA,2001,56.083333333333336
Nelson County,VA,2001,81.08333333333333
Manassas Park City,VA,2001,
Williamsburg City,VA,2001,94.83333333333333
Clarke County,VA,2001,98.25
Falls Church City,VA,2001,175.16666666666666
Poquoson City,VA,2001,83.0
Essex County,VA,2001,69.25
Middlesex County,VA,2001,
Ferry County,WA,2001,
King County,WA,2002,154.75
Fairfax County,VA,2002,178.58333333333334
Montgomery County,MD,2002,170.08333333333334
Prince Georges County,MD,2002,108.58333333333333
Baltimore County,MD,2002,99.25
