RegionID,RegionName,State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,(% change 2000-01),(% change 01-02),(% change 02-03),(% change 03-04),(% change 04-05),(% change 05-06),(% change 06-07),(% change 07-08),(% change 08-09),(% change 09-10),(% change 11-12),(% change 12-13),(% change 13-14),(% change 14-15),(% change 16-17),(% change 17-18)
445,Clark,NV,83.66666667,89.08333333,95.58333333,105,141.9166667,176.5,187.0833333,174.25,136,94.58333333,80.75,72.41666667,72.16666667,89.33333333,104.25,112.1666667,120.0833333,133.3333333,154,0.064741036,0.072965388,0.098517873,0.351587302,0.24368761,0.059962229,-0.068596882,-0.219512195,-0.304534314,-0.146255507,-0.103199174,-0.003452244,0.237875289,0.166977612,0.075939249,0.070579495
207,King,WA,141.1666667,148.4166667,154.75,161.75,175.9166667,202.75,237.25,254.4166667,240.3333333,213.1666667,198.4166667,180.9166667,180.6666667,202.5,223,249.0833333,284.1666667,330.5,362.75,0.051357733,0.042672656,0.045234249,0.08758372,0.152534344,0.170160296,0.072356867,-0.055355388,-0.113037448,-0.069194683,-0.088198236,-0.001381852,0.120848708,0.101234568,0.11696562,0.140849783
791,Wayne,MI,82.33333333,90.75,94.41666667,98.91666667,104,106.5833333,107.0833333,99.75,81.66666667,52.25,35,27.83333333,27,31.5,39.66666667,47.16666667,52.83333333,59.91666667,72.66666667,0.102226721,0.04040404,0.047661077,0.051390059,0.024839744,0.004691165,-0.06848249,-0.18128655,-0.360204082,-0.330143541,-0.204761905,-0.02994012,0.166666667,0.259259259,0.18907563,0.120141343
2049,Tarrant,TX,64.33333333,63.25,64.83333333,66.41666667,70.5,73.25,74.91666667,76.16666667,74,72.16666667,72.16666667,69.33333333,69,71.5,76,82,90.91666667,101.8333333,113.1666667,-0.016839378,0.025032938,0.024421594,0.061480552,0.039007092,0.022753129,0.016685206,-0.028446389,-0.024774775,0,-0.03926097,-0.004807692,0.036231884,0.062937063,0.078947368,0.108739837
3136,Santa Clara,CA,302.3333333,324.1666667,325.75,336.25,379.5833333,451.9166667,475.5833333,477.6666667,428,367.1666667,365.25,348.6666667,368.5833333,439.1666667,492,560.8333333,604.9166667,669.8333333,778,0.072216097,0.004884319,0.032233308,0.128872367,0.190559824,0.052369537,0.004380585,-0.103977669,-0.142133956,-0.005220154,-0.045402692,0.057122371,0.191498983,0.120303605,0.139905149,0.078603269
1561,Broward,FL,78.5,102,105.0833333,118.0833333,137.75,181.9166667,209.6666667,198.75,154.3333333,109.8333333,98.75,94.41666667,95.41666667,108,124.4166667,136,150.4166667,167.1666667,181.0833333,0.299363057,0.030228758,0.12371134,0.166549047,0.320629159,0.152542373,-0.052066773,-0.223480084,-0.288336933,-0.10091047,-0.043881857,0.01059135,0.131877729,0.152006173,0.093101139,0.106004902
386,Bexar,TX,58.25,57.16666667,58.08333333,60.08333333,65.33333333,69.16666667,73,78.5,78,75.08333333,75,73.08333333,73.41666667,75.25,78.66666667,84.33333333,90.08333333,97,105.9166667,-0.018597997,0.016034985,0.034433286,0.087378641,0.058673469,0.055421687,0.075342466,-0.006369427,-0.037393162,-0.001109878,-0.025555556,0.004561003,0.024971623,0.045404208,0.072033898,0.068181818
2452,New York,NY,,,,,,1016,1028.916667,1079.583333,1142.166667,1045,1002.083333,1035.166667,1083.416667,1167.583333,1314.583333,1404.333333,1451.416667,1461.583333,1438.25,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.012713255,0.049242731,0.057969896,-0.085072231,-0.041068581,0.033014553,0.046610852,0.077686332,0.125901078,0.068272583,0.033527178
3175,Philadelphia,PA,41.66666667,44.25,48.41666667,53.83333333,62.5,78.5,90.91666667,95.75,93.75,89.91666667,89.58333333,83.75,80.33333333,80.25,82.66666667,85.66666667,92.75,105.0833333,117.3333333,0.062,0.094161959,0.111876076,0.160990712,0.256,0.158174098,0.053162236,-0.020887728,-0.040888889,-0.003707136,-0.065116279,-0.04079602,-0.001037344,0.030114226,0.036290323,0.082684825
1510,Alameda,CA,228.9166667,261,274.4166667,298.0833333,344.0833333,414.25,429.5,411.3333333,343.3333333,293.9166667,290.3333333,268.6666667,273.25,336,387.25,436.6666667,477.9166667,521.5,575.8333333,0.140152894,0.051404853,0.086243547,0.154319262,0.203923468,0.036813518,-0.042297245,-0.165316045,-0.143932039,-0.012191664,-0.074626866,0.017059553,0.229643184,0.152529762,0.12760921,0.094465649
2801,Middlesex,MA,164.25,188.8333333,208.1666667,226,242.5833333,258.0833333,251,241.0833333,227.4166667,218.9166667,220.9166667,214.4166667,217.4166667,231.0833333,245.9166667,257.6666667,274.4166667,297.8333333,314.9166667,0.149670218,0.102383054,0.085668535,0.073377581,0.063895569,-0.027445915,-0.039508632,-0.056688559,-0.037376328,0.009135896,-0.029422859,0.01399145,0.062859333,0.064190408,0.047780413,0.065006468
2046,Suffolk,NY,150.1666667,178.5,211.5833333,251,288.75,335.8333333,360.5,354.25,330.5833333,301.6666667,289.8333333,274.1666667,264.5,266.5,279.3333333,288.4166667,301.3333333,324.1666667,361.3333333,0.188679245,0.185340803,0.186293816,0.150398406,0.163059163,0.073449132,-0.017337032,-0.06680781,-0.087471641,-0.039226519,-0.054054054,-0.035258359,0.007561437,0.048155097,0.0325179,0.044784744
3017,Sacramento,CA,97.58333333,115.5833333,133.9166667,158.8333333,196.75,239.0833333,238.5,209.1666667,160.4166667,131.9166667,123.6666667,109.9166667,110.5,140,160.0833333,173.3333333,190.75,210.5,225.8333333,0.184457728,0.158615717,0.186060983,0.238719832,0.215163066,-0.002439875,-0.122990915,-0.233067729,-0.177662338,-0.062539482,-0.111185984,0.005307051,0.266968326,0.143452381,0.082769391,0.100480769
401,Bronx,NY,107.3333333,116.8333333,135.25,147.0833333,167.6666667,200.9166667,231.5833333,244.0833333,232.25,209.5,203.9166667,196.4166667,185,195.1666667,206.5,209.5833333,222.9166667,247.6666667,266.4166667,0.088509317,0.157631954,0.087492298,0.139943343,0.198310139,0.152633762,0.05397625,-0.04848071,-0.09795479,-0.026650756,-0.03677973,-0.058124735,0.054954955,0.058070026,0.014931396,0.06361829
1252,Nassau,NY,168.5833333,187,213.75,246.1666667,277.75,312.0833333,327.25,318,294.5,265.5,259.3333333,247.5833333,242.25,246.8333333,263.3333333,277.1666667,291.1666667,310.5833333,336.25,0.109243697,0.143048128,0.15165692,0.128300609,0.123612361,0.048598131,-0.028265852,-0.073899371,-0.098471986,-0.023226616,-0.045308483,-0.021541568,0.018919849,0.066846725,0.052531646,0.050511124
